First Name	Last Name	Gender	Belt	Membership Number	Age	Division	Weight Range	Total Points							
Diego	PINEDA	Male	Black	999894663	Senior	World-Class-Bantam	58.1kg-63kg	345
Kenneth	BUENAVIDES	Male	Black	999852346	Senior	World-Class-Bantam	58.1kg-63kg	284
Ilya	VODOVOZOV	Male	Black	999899904	Senior	World-Class-Bantam	58.1kg-63kg	273
Barron	MOSTELLER	Male	Black	999863762	Senior	World-Class-Bantam	58.1kg-63kg	272
Justin	FREDRICKS	Male	Black	999850287	Senior	World-Class-Bantam	58.1kg-63kg	253
Gavin	GRANT	Male	Black	999893980	Senior	World-Class-Bantam	58.1kg-63kg	224
Kellen	WALKER	Male	Black	999896122	Senior	World-Class-Bantam	58.1kg-63kg	203
Joshua	HUANG	Male	Black	999922687	Senior	World-Class-Bantam	58.1kg-63kg	147
Jason	LEWIS	Male	Black	999886436	Senior	World-Class-Bantam	58.1kg-63kg	138
Kalen	Chung	Male	Black	999924398	Senior	World-Class-Bantam	58.1kg-63kg	137
Landon	Edwards-Scoville	Male	Black	999925557	Senior	World-Class-Bantam	58.1kg-63kg	127
STEWART	BEALL	Male	Black	999827641	Senior	World-Class-Bantam	58.1kg-63kg	120
JEREMY	COSTE	Male	Black	999912866	Senior	World-Class-Bantam	58.1kg-63kg	120
Jack	BOMMERSBACH	Male	Black	999870861	Senior	World-Class-Bantam	58.1kg-63kg	116
Saidth	Gomez 	Male	Black	999926128	Senior	World-Class-Bantam	58.1kg-63kg	112
GAGE	GODFREY	Male	Black	999856153	Senior	World-Class-Bantam	58.1kg-63kg	110
Darrion	Phan	Male	Black	999926922	Senior	World-Class-Bantam	58.1kg-63kg	100
EVAN	KIM	Male	Black	999907508	Senior	World-Class-Bantam	58.1kg-63kg	96
BRANDON	KIM	Male	Black	999913287	Senior	World-Class-Bantam	58.1kg-63kg	93
ELEFTHERIOS	GKOUFAS	Male	Black	999909012	Senior	World-Class-Bantam	58.1kg-63kg	90
Aaron	Rosales 	Male	Black	999925966	Senior	World-Class-Bantam	58.1kg-63kg	90
Lito	Godolphin	Male	Black	999924744	Senior	World-Class-Bantam	58.1kg-63kg	89
William	Stiehl	Male	Black	999927128	Senior	World-Class-Bantam	58.1kg-63kg	75
Bryan	Sutjipto	Male	Black	999924924	Senior	World-Class-Bantam	58.1kg-63kg	70
Pierce	BRUNO	Male	Black	999883818	Senior	World-Class-Bantam	58.1kg-63kg	68
CHRISTOPHER 	CARPENTER	Male	Black	999896530	Senior	World-Class-Bantam	58.1kg-63kg	68
Andrey	NEPOMNISHY	Male	Black	999911172	Senior	World-Class-Bantam	58.1kg-63kg	68
Andrew	AMINI	Male	Black	999920943	Senior	World-Class-Bantam	58.1kg-63kg	64
JEAN	LABATTE	Male	Black	999834325	Senior	World-Class-Bantam	58.1kg-63kg	60
RODRIGO	NEGRETE	Male	Black	999797583	Senior	World-Class-Bantam	58.1kg-63kg	59
MAKEIO	DESADIER	Male	Black	999824044	Senior	World-Class-Bantam	58.1kg-63kg	59
MELVY	ALVAREZ	Male	Black	999847117	Senior	World-Class-Bantam	58.1kg-63kg	59
Matthew	Alfonso	Male	Black	999853622	Senior	World-Class-Bantam	58.1kg-63kg	59
EMILIANO	MONARREZ	Male	Black	999890030	Senior	World-Class-Bantam	58.1kg-63kg	59
Luis-Eziquiel	Ruiz-Sanchez	Male	Black	999917860	Senior	World-Class-Bantam	58.1kg-63kg	59
IAN	HONG	Male	Black	999829541	Senior	World-Class-Bantam	58.1kg-63kg	56
PRANEETH	MUVVA	Male	Black	999891768	Senior	World-Class-Bantam	58.1kg-63kg	56
Gage	LEGASPI	Male	Black	999804447	Senior	World-Class-Bantam	58.1kg-63kg	51
Immanuel	AMPOMAH-MENSAH	Male	Black	999892640	Senior	World-Class-Bantam	58.1kg-63kg	51
David	HIROTA	Male	Black	999897041	Senior	World-Class-Bantam	58.1kg-63kg	51
Cole	NORETTO	Male	Black	999871292	Senior	World-Class-Bantam	58.1kg-63kg	48
Thomas	BOYER	Male	Black	999876982	Senior	World-Class-Bantam	58.1kg-63kg	48
MILTON	MAJANO	Male	Black	999881286	Senior	World-Class-Bantam	58.1kg-63kg	45
JULIAN	ESPOSO	Male	Black	999765195	Senior	World-Class-Bantam	58.1kg-63kg	44
Nicholas	Okwiya	Male	Black	999921106	Senior	World-Class-Bantam	58.1kg-63kg	44
Tin-Wing	Chu	Male	Black	999918512	Senior	World-Class-Bantam	58.1kg-63kg	42
Ivan	Sung	Male	Black	999919100	Senior	World-Class-Bantam	58.1kg-63kg	42
Prahchomvong	THAY	Male	Black	999909682	Senior	World-Class-Bantam	58.1kg-63kg	38
Vicente	GALILA	Male	Black	999922646	Senior	World-Class-Bantam	58.1kg-63kg	38
BRYSON	SHIN	Male	Black	999915757	Senior	World-Class-Bantam	58.1kg-63kg	34
KEVIN	VON-NACHER	Male	Black	999883426	Senior	World-Class-Bantam	58.1kg-63kg	32
Taylor	Wallace	Male	Black	999916797	Senior	World-Class-Bantam	58.1kg-63kg	32
Angel	Lopez-Flores	Male	Black	999923254	Senior	World-Class-Bantam	58.1kg-63kg	32
Patrick	Zheng	Male	Black	999926945	Senior	World-Class-Bantam	58.1kg-63kg	32
Nhon	Tran	Male	Black	999926955	Senior	World-Class-Bantam	58.1kg-63kg	32
Jason	Lin	Male	Black	999927074	Senior	World-Class-Bantam	58.1kg-63kg	32
Adam	Duong	Male	Black	999927215	Senior	World-Class-Bantam	58.1kg-63kg	32
SIMEON	KELLER	Male	Black	999739751	Senior	World-Class-Bantam	58.1kg-63kg	30
HIRAM	OCACIO	Male	Black	999880424	Senior	World-Class-Bantam	58.1kg-63kg	30
Khalfani	HARRIS	Male	Black	999853288	Senior	World-Class-Feather	63.1kg-68kg	335
James	CHOI	Male	Black	999899068	Senior	World-Class-Feather	63.1kg-68kg	233
Isaiah	YOUNG	Male	Black	999879799	Senior	World-Class-Feather	63.1kg-68kg	205
VICTOR	RODRIGUES	Male	Black	999859440	Senior	World-Class-Feather	63.1kg-68kg	200
TERRY	NGO	Male	Black	999910045	Senior	World-Class-Feather	63.1kg-68kg	187
LEONARDO	CAMELA	Male	Black	999912567	Senior	World-Class-Feather	63.1kg-68kg	149
Abhishek	NARANG	Male	Black	999869134	Senior	World-Class-Feather	63.1kg-68kg	123
Devin	CORNELL	Male	Black	999904893	Senior	World-Class-Feather	63.1kg-68kg	120
Eunhong	Tak	Male	Black	999926672	Senior	World-Class-Feather	63.1kg-68kg	120
ERIC	GARCES	Male	Black	999908997	Senior	World-Class-Feather	63.1kg-68kg	113
NATHEN	MINER	Male	Black	999880994	Senior	World-Class-Feather	63.1kg-68kg	105
MALIK	DOBSON	Male	Black	999797694	Senior	World-Class-Feather	63.1kg-68kg	100
JORDAN	PANOTES	Male	Black	999904104	Senior	World-Class-Feather	63.1kg-68kg	100
Alexander	HUNTER	Male	Black	999923158	Senior	World-Class-Feather	63.1kg-68kg	98
Jacob	Struble	Male	Black	999924727	Senior	World-Class-Feather	63.1kg-68kg	94.5
Maikol	RODRIGUEZ	Male	Black	999888001	Senior	World-Class-Feather	63.1kg-68kg	93
THOMAS	POLAND	Male	Black	999859206	Senior	World-Class-Feather	63.1kg-68kg	90
Siroj	ZIYOVIDDINKHUJAEV	Male	Black	999921951	Senior	World-Class-Feather	63.1kg-68kg	90
STEVEN	BOWMAN	Male	Black	999872378	Senior	World-Class-Feather	63.1kg-68kg	79
Timothy	LEE	Male	Black	999898208	Senior	World-Class-Feather	63.1kg-68kg	68
Shane	GILLESPIE	Male	Black	999919662	Senior	World-Class-Feather	63.1kg-68kg	68
Eduardo U-CANO	Male	Black	999923231	Senior	World-Class-Feather	63.1kg-68kg	68
Ruslan	DAMRON	Male	Black	999926570	Senior	World-Class-Feather	63.1kg-68kg	68
CADE	BAUER	Male	Black	999901372	Senior	World-Class-Feather	63.1kg-68kg	60
MATTHEW	POLAND	Male	Black	999870298	Senior	World-Class-Feather	63.1kg-68kg	59
PETER	TRAN	Male	Black	999901826	Senior	World-Class-Feather	63.1kg-68kg	59
RYAN	HEEREMA	Male	Black	999847547	Senior	World-Class-Feather	63.1kg-68kg	56
Dave-Manuel	Djachechi	Male	Black	999927001	Senior	World-Class-Feather	63.1kg-68kg	56
Jonathan	BERMEO	Male	Black	999926133	Senior	World-Class-Feather	63.1kg-68kg	51
Andrew	RUANO	Male	Black	999782505	Senior	World-Class-Feather	63.1kg-68kg	48
Daniel	ALEXANDER	Male	Black	999823962	Senior	World-Class-Feather	63.1kg-68kg	48
Timothy	SALAS	Male	Black	999909715	Senior	World-Class-Feather	63.1kg-68kg	48
Fernando	Avila	Male	Black	999925497	Senior	World-Class-Feather	63.1kg-68kg	48
Dominic	SIPIA	Male	Black	999859710	Senior	World-Class-Feather	63.1kg-68kg	45
LOGAN	MCPHERSON	Male	Black	999882861	Senior	World-Class-Feather	63.1kg-68kg	45
JEREMY	FREDRICKS	Male	Black	999704408	Senior	World-Class-Feather	63.1kg-68kg	42
ROBERT	UFFERMAN	Male	Black	999915022	Senior	World-Class-Feather	63.1kg-68kg	42
Jeffery	Li	Male	Black	999918859	Senior	World-Class-Feather	63.1kg-68kg	42
Daniel	KWAK	Male	Black	999804730	Senior	World-Class-Feather	63.1kg-68kg	36
Oscar	BRAMBLE	Male	Black	999851711	Senior	World-Class-Feather	63.1kg-68kg	36
Jason	LEE	Male	Black	999872508	Senior	World-Class-Feather	63.1kg-68kg	36
Eduardo	CANO	Male	Black	999875318	Senior	World-Class-Feather	63.1kg-68kg	36
Peter	SOKOLENKO	Male	Black	999896181	Senior	World-Class-Feather	63.1kg-68kg	36
Ryan	MOHAMADI	Male	Black	999899091	Senior	World-Class-Feather	63.1kg-68kg	36
Christian	Carmo	Male	Black	999919555	Senior	World-Class-Feather	63.1kg-68kg	34
LIAM	HERNDON	Male	Black	999910686	Senior	World-Class-Feather	63.1kg-68kg	32
Justin	Kwok	Male	Black	999922802	Senior	World-Class-Feather	63.1kg-68kg	32
Justin	Dao	Male	Black	999923545	Senior	World-Class-Feather	63.1kg-68kg	32
Hamzah	Alkhubani	Male	Black	999927129	Senior	World-Class-Feather	63.1kg-68kg	32
William	Suryapermana	Male	Black	999927515	Senior	World-Class-Feather	63.1kg-68kg	32
Connor	Fu	Male	Black	999927620	Senior	World-Class-Feather	63.1kg-68kg	32
Roberto	Ruiz-Felix	Male	Black	999927667	Senior	World-Class-Feather	63.1kg-68kg	32
DANIEL	PARK	Male	Black	999852538	Senior	World-Class-Feather	63.1kg-68kg	30
ANDREI	LUPASCU	Male	Black	999860201	Senior	World-Class-Feather	63.1kg-68kg	30
SHIWOO	KIM	Male	Black	999879738	Senior	World-Class-Feather	63.1kg-68kg	30
Jackson	Rogers	Male	Black	999920021	Senior	World-Class-Feather	63.1kg-68kg	30
DANIEL	LEE	Male	Black	999870091	Senior	World-Class-Feather	63.1kg-68kg	24
Shawn-Nigel	Canonizado	Male	Black	999918692	Senior	World-Class-Feather	63.1kg-68kg	24
Matthew	Naidu	Male	Black	999920430	Senior	World-Class-Feather	63.1kg-68kg	24
Ty	Plumley	Male	Black	999925522	Senior	World-Class-Feather	63.1kg-68kg	24
Fari	Santoso	Male	Black	999927575	Senior	World-Class-Feather	63.1kg-68kg	24
Hideaki	Park	Male	Black	999927576	Senior	World-Class-Feather	63.1kg-68kg	24
Mateo	BARAJAS	Male	Black	999823541	Senior	World-Class-Fin	Under-54kg	282
Arian-Nathan	CANETE	Male	Black	999863180	Senior	World-Class-Fin	Under-54kg	256
ARIEL	ROCHA	Male	Black	999883449	Senior	World-Class-Fin	Under-54kg	229
Miles	JOHNSON	Male	Black	999849938	Senior	World-Class-Fin	Under-54kg	225
Joseph	CARRILLO	Male	Black	999904569	Senior	World-Class-Fin	Under-54kg	225
RYAN	SHIM	Male	Black	999898076	Senior	World-Class-Fin	Under-54kg	203
David	YEHENARA	Male	Black	999921029	Senior	World-Class-Fin	Under-54kg	187
Matthew	NICULAE	Male	Black	999895117	Senior	World-Class-Fin	Under-54kg	152
Ian	LOPEZ	Male	Black	999871424	Senior	World-Class-Fin	Under-54kg	148
Young-Suk	GUN	Male	Black	999861935	Senior	World-Class-Fin	Under-54kg	135
Santiago-Enrique	SANDEJAS	Male	Black	999871055	Senior	World-Class-Fin	Under-54kg	129
Alessandro	GONZALEZ	Male	Black	999882668	Senior	World-Class-Fin	Under-54kg	123
HARISH	VENKATARAMAN	Male	Black	999858981	Senior	World-Class-Fin	Under-54kg	120
Aidan	NGUYEN-TRAN	Male	Black	999924573	Senior	World-Class-Fin	Under-54kg	116
Erick	Sanchez	Male	Black	999926456	Senior	World-Class-Fin	Under-54kg	113
Gael	GONZALEZ	Male	Black	999882555	Senior	World-Class-Fin	Under-54kg	108
DYLAN 	HAUBRICH	Male	Black	999909153	Senior	World-Class-Fin	Under-54kg	105
THEODORE	CHANG	Male	Black	999915577	Senior	World-Class-Fin	Under-54kg	102
Michael	IGNACIO	Male	Black	999892217	Senior	World-Class-Fin	Under-54kg	97
Alexander	NIEVES	Male	Black	999871157	Senior	World-Class-Fin	Under-54kg	93
Charlie	 Khunsombat	Male	Black	999918574	Senior	World-Class-Fin	Under-54kg	90
Moises	DE-LA-CRUZ	Male	Black	999853604	Senior	World-Class-Fin	Under-54kg	85
Owen	Lockwood	Male	Black	999919105	Senior	World-Class-Fin	Under-54kg	75
Erick	CHAPARRO	Male	Black	999873443	Senior	World-Class-Fin	Under-54kg	64
Jayden	EDWARDS	Male	Black	999885371	Senior	World-Class-Fin	Under-54kg	64
PAYTON	VOGEL	Male	Black	999858641	Senior	World-Class-Fin	Under-54kg	59
Isaac	Kim	Male	Black	999928055	Senior	World-Class-Fin	Under-54kg	59
NAM	LE	Male	Black	999901964	Senior	World-Class-Fin	Under-54kg	56
Zardo-James	VILLANUEVA	Male	Black	999890767	Senior	World-Class-Fin	Under-54kg	51
Felix	MONTIEL	Male	Black	999895618	Senior	World-Class-Fin	Under-54kg	51
Carlos	VARGAS	Male	Black	999921529	Senior	World-Class-Fin	Under-54kg	51
Joaquin-Patrick	LUCIANO	Male	Black	999846333	Senior	World-Class-Fin	Under-54kg	48
Felix	MONTIEL-III	Male	Black	999886739	Senior	World-Class-Fin	Under-54kg	48
Alexander	Lee	Male	Black	999927680	Senior	World-Class-Fin	Under-54kg	42
Aaron	ZIMMER	Male	Black	999917843	Senior	World-Class-Fin	Under-54kg	34
Jeremy	COSTE	Male	Black	999912866	Senior	World-Class-Fly	54.1kg-58kg	188
Trinidad	SAABEDRA	Male	Black	999873482	Senior	World-Class-Fly	54.1kg-58kg	184
Joshua	Huang	Male	Black	999922687	Senior	World-Class-Fly	54.1kg-58kg	143
Alejandro	RAYAS	Male	Black	999917126	Senior	World-Class-Fly	54.1kg-58kg	138
Taylor	DULIN	Male	Black	999912395	Senior	World-Class-Fly	54.1kg-58kg	127
Marcelo	ANDREWS	Male	Black	999875887	Senior	World-Class-Fly	54.1kg-58kg	124
MAKEIO	DESADIER	Male	Black	999824044	Senior	World-Class-Fly	54.1kg-58kg	122
PRANEETH	MUVVA	Male	Black	999891768	Senior	World-Class-Fly	54.1kg-58kg	120
Julian	ESPOSO	Male	Black	999765195	Senior	World-Class-Fly	54.1kg-58kg	116
Jimmy	DUONG	Male	Black	999817165	Senior	World-Class-Fly	54.1kg-58kg	108
Bailey	DULIN	Male	Black	999912426	Senior	World-Class-Fly	54.1kg-58kg	107
FABIO	TAMAY	Male	Black	999861698	Senior	World-Class-Fly	54.1kg-58kg	105
Joseph	MOJICA	Male	Black	999864183	Senior	World-Class-Fly	54.1kg-58kg	100.5
SEBASTIAN 	TAN	Male	Black	999891435	Senior	World-Class-Fly	54.1kg-58kg	100
Abd-Alsalam 	Aloubeady 	Male	Black	999917460	Senior	World-Class-Fly	54.1kg-58kg	79
COLE	NORETTO	Male	Black	999871292	Senior	World-Class-Fly	54.1kg-58kg	70
JONATHAN 	BALTAZAR	Male	Black	999851963	Senior	World-Class-Fly	54.1kg-58kg	68
Roberto	IBARRA	Male	Black	999927287	Senior	World-Class-Fly	54.1kg-58kg	68
Chris	ALLEN	Male	Black	999828892	Senior	World-Class-Fly	54.1kg-58kg	64
Melvy	ALVAREZ	Male	Black	999847117	Senior	World-Class-Fly	54.1kg-58kg	64
Matthew	ALFONSO	Male	Black	999853622	Senior	World-Class-Fly	54.1kg-58kg	64
DAVID	CLARK	Male	Black	999829926	Senior	World-Class-Fly	54.1kg-58kg	60
JONAH	DELA-FUENTE	Male	Black	999871416	Senior	World-Class-Fly	54.1kg-58kg	59
OWEN	SHOEMAKER	Male	Black	999894522	Senior	World-Class-Fly	54.1kg-58kg	56
Alim	Kham	Male	Black	999927628	Senior	World-Class-Fly	54.1kg-58kg	56
Rodrigo-Dazaeth	NEGRETE	Male	Black	999797583	Senior	World-Class-Fly	54.1kg-58kg	48
James	SOTO	Male	Black	999836300	Senior	World-Class-Fly	54.1kg-58kg	48
Adam	BARLOW	Male	Black	999921480	Senior	World-Class-Fly	54.1kg-58kg	48
DeQuan	Mitchell	Male	Black	999921704	Senior	World-Class-Fly	54.1kg-58kg	45
ALI	ERICH	Male	Black	999922454	Senior	World-Class-Fly	54.1kg-58kg	45
Isaac	Kim	Male	Black	999928055	Senior	World-Class-Fly	54.1kg-58kg	45
BRANDON-MATTHEW	DELA-CRUZ	Male	Black	999834361	Senior	World-Class-Fly	54.1kg-58kg	42
Noah	Sonet	Male	Black	999857568	Senior	World-Class-Fly	54.1kg-58kg	42
MATTHEW 	NGUYEN	Male	Black	999909195	Senior	World-Class-Fly	54.1kg-58kg	42
Daniel 	Queyquep	Male	Black	999922803	Senior	World-Class-Fly	54.1kg-58kg	42
CONNOR	YEE	Male	Black	999844886	Senior	World-Class-Fly	54.1kg-58kg	32
ARAGORN 	CLEMENTE	Male	BLACK	999869760	Senior	World-Class-Fly	54.1kg-58kg	30
Kanoa	Guillermo	Male	Black	999926282	Senior	World-Class-Fly	54.1kg-58kg	30
Anthony	Alfano	Male	Black	999928013	Senior	World-Class-Fly	54.1kg-58kg	30
Jonathan	HEALY	Male	Black	999743787	Senior	World-Class-Heavy	Over-87kg	450
Nicholas	CAGGIA	Male	Black	999708469	Senior	World-Class-Heavy	Over-87kg	361
